Disease,Temperature(C),Humidity,AirQuality,Description
HAEMOPHILIA,25,12,550,Blood Related Diseases
VON WILLIBRAND DISEASE,25,12,550,Blood Related Diseases
OSTEOARTHRITIS,25,12,1050,Bone Diseases
RHEMATOID ARTHRITIS,25,12,1050,Bone Diseases
SPONDYLOARTHRITIES,25,12,1050,Bone Diseases
OSTEOPOROSIS,25,12,1050,Bone Diseases
OSTEOMALACIA,25,12,1050,Bone Diseases
RICKETS,25,12,1050,Bone Diseases
PAGET DISEASE,25,12,1050,Bone Diseases
SLE,25,12,1050,Bone Diseases
SCLEROSIS,25,12,1050,Bone Diseases
VASCULITIS,25,12,1050,Bone Diseases
GIANT CELL ARTERITIS,25,12,1050,Bone Diseases
HYPERSOMNOLENCE,25,12,1050,Brain Diseases
INSOMNIA,25,12,1050,Brain Diseases
ATAXIA,25,12,1050,Brain Diseases
PARKINSONISM,25,12,1050,Brain Diseases
MENINGITIS,20,10,350,Brain Diseases
TREMORS,25,13,1050,Brain Diseases
HYRDOCEPHALUS,25,13,1050,Brain Diseases
VIRAL ENCEPHALITIS,20,10,350,Brain Diseases
RABIES,20,10,350,Brain Diseases
POLIOMY ELITIS,20,10,350,Brain Diseases
CEREBRAL ABSCESS,20,10,1050,Brain Diseases
EMPYEMA,20,10,1050,Brain Diseases
NEUROSYPHILIS,20,10,1050,Brain Diseases
TETANUS,20,10,1050,Brain Diseases
BOTULISM,20,10,1050,Brain Diseases
BRAIN TUMOR,25,13,1050,Brain Diseases
ACOUSTIC NEUROMA,25,13,1050,Brain Diseases
HEAD INJURY,25,13,1050,Brain Diseases
SPONDYLOSIS,25,13,1050,Brain Diseases
MYASTHENIA GRAVIS,25,13,1050,Brain Diseases
STROKE,25,13,1050,Brain Diseases
CATARACT,25,13,1050,Eye Diseases
GLAUCOMA,25,13,1050,Eye Diseases
DIABETIC EYE DISEASE,25,13,1050,Eye Diseases
CONJUNCTIVITES,25,13,1050,Eye Diseases
DEMENTIA,21,10,350,Psychiatry
SCHIZOPHRENIA,21,10,350,Psychiatry
MOOD DISORDER,21,10,350,Psychiatry
ANXIETY,21,10,350,Psychiatry
OBESSIVE COMPULSIVE DISORDER,21,10,350,Psychiatry
EATING DISORDER,21,10,350,Psychiatry
PERSONALITY DISORDER,21,10,350,Psychiatry
ALZHEIMER DISEASE,21,10,350,Psychiatry
SKIN CANCER,21,9,1050,Skin Diseases
KERATOSIS,21,9,1050,Skin Diseases
MELANOMA,21,9,1050,Skin Diseases
HAEMANGIOMA,21,9,1050,Skin Diseases
NAEVI,21,9,1050,Skin Diseases
IMPETIGO,21,9,1050,Skin Diseases
ECTHYMA,21,9,1050,Skin Diseases
CELLULITIS,21,9,1050,Skin Diseases
SCABIES,21,9,1050,Skin Diseases
ACNE VULGARIS,21,9,1050,Skin Diseases
ECZEMA,21,9,1050,Skin Diseases
PSORIASIS,21,9,1050,Skin Diseases
URTICARIA,21,9,1050,Skin Diseases
VITILIGO,21,9,1050,Skin Diseases
ALOPECIA,21,9,1050,Skin Diseases
XANTHOMA,21,9,1050,Skin Diseases
AMYLOIDOSIS,21,9,1050,Skin Diseases
